,id,year,title
42,1036,1995,Improved Gaussian Mixture Density Estimates Using Bayesian Penalty Terms and Network Averaging
43,1037,1995,Quadratic-Type Lyapunov Functions for Competitive Neural Networks with Different Time-Scales
44,1038,1995,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions
45,1039,1995,Context-Dependent Classes in a Hybrid Recurrent Network-HMM Speech Recognition System
46,104,1988,Digital Realisation of Self-Organising Maps
47,1040,1995,Empirical Entropy Manipulation for Real-World Problems
48,1041,1995,The Geometry of Eye Rotations and Listing's Law
49,1042,1995,Reinforcement Learning by Probability Matching
50,1043,1995,Neural Control for Nonlinear Dynamic Systems
51,1044,1995,Learning with ensembles: How overfitting can be useful
52,1045,1995,SEEMORE: A View-Based Approach to 3-D Object Recognition Using Multiple Visual Cues
53,1046,1995,Analog VLSI Processor Implementing the Continuous Wavelet Transform
54,1047,1995,Selective Attention for Handwritten Digit Recognition
55,1048,1995,Gaussian Processes for Regression
56,1049,1995,Modern Analytic Techniques to Solve the Dynamics of Recurrent Neural Networks
57,105,1988,Backpropagation and Its Application to Handwritten Signature Verification
58,1050,1995,Family Discovery
59,1051,1995,Neural Networks with Quadratic VC Dimension
60,1052,1995,Learning the Structure of Similarity
61,1053,1995,Reorganisation of Somatosensory Cortex after Tactile Training
62,1054,1995,Implementation Issues in the Fourier Transform Algorithm
63,1055,1995,Adaptive Retina with Center-Surround Receptive Field
64,1056,1995,Forward-backward retraining of recurrent neural networks
65,1057,1995,When is an Integrate-and-fire Neuron like a Poisson Neuron?
66,1058,1995,From Isolation to Cooperation: An Alternative View of a System of Experts
67,1059,1995,Boosting Decision Trees
68,106,1988,Constraints on Adaptive Networks for Modeling Human Generalization
69,1060,1995,Statistical Theory of Overtraining - Is Cross-Validation Asymptotically Effective?
70,1061,1995,Stable Dynamic Parameter Adaption
71,1062,1995,Universal Approximation and Learning of Trajectories Using Oscillators
72,1063,1995,Learning Fine Motion by Markov Mixtures of Experts
73,1064,1995,Estimating the Bayes Risk from Sample Data
74,1065,1995,A Unified Learning Scheme: Bayesian-Kullback Ying-Yang Machine
75,1066,1995,On Neural Networks with Minimal Weights
76,1067,1995,SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training
77,1068,1995,A Neural Network Model of 3-D Lightness Perception
78,1069,1995,How Perception Guides Production in Birdsong Learning
79,107,1988,Neural Network Recognizer for Hand-Written Zip Code Digits
80,1070,1995,"A Bound on the Error of Cross Validation Using the Approximation and Estimation Rates, with Consequences for the Training-Test Split"
81,1071,1995,A Model of Spatial Representations in Parietal Cortex Explains Hemineglect
82,1072,1995,Dynamics of On-Line Gradient Descent Learning for Multilayer Neural Networks
83,1073,1995,Improving Elevator Performance Using Reinforcement Learning
84,1074,1995,Visual gesture-based robot guidance with a modular neural system
85,1075,1995,Improving Committee Diagnosis with Resampling Techniques
86,1076,1995,Learning Sparse Perceptrons
87,1077,1995,A Neural Network Autoassociator for Induction Motor Failure Prediction
88,1078,1995,Modeling Interactions of the Rat's Place and Head Direction Systems
89,1079,1995,Active Gesture Recognition using Learned Visual Attention
90,108,1988,Neural Networks for Model Matching and Perceptual Organization
91,1080,1995,Symplectic Nonlinear Component Analysis
92,1081,1995,"Using the Future to ""Sort Out"" the Present: Rankprop and Multitask Learning for Medical Risk Evaluation"
93,1082,1995,Prediction of Beta Sheets in Proteins
94,1083,1995,Unsupervised Pixel-prediction
95,1084,1995,High-Speed Airborne Particle Monitoring Using Artificial Neural Networks
96,1085,1995,High-Performance Job-Shop Scheduling With A Time-Delay TD(?) Network
97,1086,1995,Examples of learning curves from a modified VC-formalism
98,1087,1995,Using Feedforward Neural Networks to Monitor Alertness from Changes in EEG Correlation and Coherence
99,1088,1995,Softassign versus Softmax: Benchmarks in Combinatorial Optimization
100,1089,1995,Beating a Defender in Robotic Soccer: Memory-Based Learning of a Continuous Function
101,109,1988,Applications of Error Back-Propagation to Phonetic Classification
102,1090,1995,Absence of Cycles in Symmetric Neural Networks
103,1091,1995,Independent Component Analysis of Electroencephalographic Data
104,1092,1995,Clustering data through an analogy to the Potts model
105,1094,1995,Plasticity of Center-Surround Opponent Receptive Fields in Real and Artificial Neural Systems of Vision
106,1095,1995,Worst-case Loss Bounds for Single Neurons
107,1096,1995,Predictive Q-Routing: A Memory-based Reinforcement Learning Approach to Adaptive Traffic Control
108,1097,1995,Using Unlabeled Data for Supervised Learning
109,1098,1995,Discovering Structure in Continuous Variables Using Bayesian Networks
110,1099,1995,Adaptive Mixture of Probabilistic Transducers
111,11,1987,Microelectronic Implementations of Connectionist Neural Networks
112,110,1988,Adaptive Neural Networks Using MOS Charge Storage
113,1100,1995,Tempering Backpropagation Networks: Not All Weights are Created Equal
114,1101,1995,Finite State Automata that Recurrent Cascade-Correlation Cannot Represent
115,1102,1995,Hierarchical Recurrent Neural Networks for Long-Term Dependencies
116,1103,1995,Optimizing Cortical Mappings
117,1104,1995,KODAK lMAGELINK? OCR Alphanumeric Handprint Module
118,1105,1995,Cholinergic suppression of transmission may allow combined associative memory function and self-organization in the neocortex
119,1106,1995,Handwritten Word Recognition using Contextual Hybrid Radial Basis Function Network/Hidden Markov Models
120,1107,1995,Human Reading and the Curse of Dimensionality
121,1108,1995,Sample Complexity for Learning Recurrent Perceptron Mappings
122,1109,1995,Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding
123,111,1988,Dynamics of Analog Neural Networks with Time Delay
124,1111,1995,Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks
125,1112,1995,Learning Model Bias
126,1113,1995,Generalized Learning Vector Quantization
127,1114,1995,Stock Selection via Nonlinear Multi-Factor Models
128,1115,1995,A New Learning Algorithm for Blind Signal Separation
129,1116,1995,Classifying Facial Action
130,1117,1995,Parallel Optimization of Motion Controllers via Policy Iteration
131,1118,1995,A Framework for Non-rigid Matching and Correspondence
132,1119,1995,A Smoothing Regularizer for Recurrent Neural Networks
133,112,1988,Cricket Wind Detection
134,1120,1995,Optimization Principles for the Neural Code
135,1121,1995,Optimal Asset Allocation using Adaptive Dynamic Programming
136,1122,1995,Recursive Estimation of Dynamic Modular RBF Networks
137,1123,1995,Silicon Models for Auditory Scene Analysis
138,1124,1995,Memory-based Stochastic Optimization
139,1125,1995,Parallel analog VLSI architectures for computation of heading direction and time-to-contact
140,1126,1995,Recurrent Neural Networks for Missing or Asynchronous Data
141,1127,1995,A Realizable Learning Task which Exhibits Overfitting
142,1128,1995,Modeling Saccadic Targeting in Visual Search
143,1129,1995,Simulation of a Thalamocortical Circuit for Computing Directional Heading in the Rat
144,113,1988,Use of Multi-Layered Networks for Coding Speech with Phonetic Features
145,1130,1995,Some results on convergent unlearning algorithm
146,1131,1995,Discriminant Adaptive Nearest Neighbor Classification and Regression
147,1132,1995,EM Optimization of Latent-Variable Density Models
148,1133,1995,Stable Fitted Reinforcement Learning
149,1134,1995,Competence Acquisition in an Autonomous Mobile Robot using Hardware Neural Techniques
150,1135,1995,Information through a Spiking Neuron
151,1136,1995,The Capacity of a Bump
152,1138,1995,A Dynamical Systems Approach for a Learnable Autonomous Robot
153,1139,1995,Rapid Quality Estimation of Neural Network Input Representations
154,114,1988,Implications of Recursive Distributed Representations
155,1140,1995,Active Learning in Multilayer Perceptrons
156,1141,1995,Investment Learning with Hierarchical PSOMs
157,1142,1995,Explorations with the Dynamic Wave Model
158,1143,1995,Improving Policies without Measuring Merits
159,1144,1995,Factorial Hidden Markov Models
160,1145,1995,A Predictive Switching Model of Cerebellar Movement Control
161,1146,1995,The Role of Activity in Synaptic Competition at the Neuromuscular Junction
162,1147,1995,Geometry of Early Stopping in Linear Networks
163,1148,1995,Strong Unimodality and Exact Learning of Constant Depth ?-Perceptron Networks
164,1149,1995,Laterally Interconnected Self-Organizing Maps in Hand-Written Digit Recognition
165,115,1988,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments
166,1150,1995,Primitive Manipulation Learning with Connectionism
167,1151,1995,Learning long-term dependencies is not as difficult with NARX networks
168,1152,1995,Extracting Tree-Structured Representations of Trained Networks
169,1153,1995,Does the Wake-sleep Algorithm Produce Good Density Estimators?
170,1154,1995,"Control of Selective Visual Attention: Modeling the ""Where"" Pathway"
171,1155,1995,Exploiting Tractable Substructures in Intractable Networks
172,1156,1995,Adaptive Back-Propagation in On-Line Learning of Multilayer Networks
173,1157,1995,Temporal coding in the sub-millisecond range: Model of barn owl auditory pathway
174,1158,1995,On the Computational Power of Noisy Spiking Neurons
175,1159,1995,A Novel Channel Selection System in Cochlear Implants Using Artificial Neural Network
176,116,1988,Convergence and Pattern-Stabilization in the Boltzmann Machine
177,1160,1995,Harmony Networks Do Not Work
178,1161,1995,An Information-theoretic Learning Algorithm for Neural Network Classification
179,1162,1995,Experiments with Neural Networks for Real Time Implementation of Control
180,1163,1995,Generalisation of A Class of Continuous Neural Networks
181,1164,1995,Learning to Predict Visibility and Invisibility from Occlusion Events
182,1165,1995,Constructive Algorithms for Hierarchical Mixtures of Experts
183,1166,1995,Model Matching and SFMD Computation
184,1167,1995,Bayesian Methods for Mixtures of Experts
185,1168,1995,Human Face Detection in Visual Scenes
186,1169,1995,Temporal Difference Learning in Continuous Time and Space
187,1170,1995,A Neural Network Classifier for the I100 OCR Chip
188,1171,1995,Using Pairs of Data-Points to Define Splits for Decision Trees
189,1172,1995,Stochastic Hillclimbing as a Baseline Method for Evaluating Genetic Algorithms
190,1173,1995,Improved Silicon Cochlea using Compatible Lateral Bipolar Transistors
191,1174,1995,"Pruning with generalization based weight saliencies: ?OBD, ?OBS"
192,1175,1995,Generating Accurate and Diverse Members of a Neural-Network Ensemble
193,1176,1996,Statistical Mechanics of the Mixture of Experts
194,1177,1996,Microscopic Equations in Rough Energy Landscape for Neural Networks
195,1178,1996,An Architectural Mechanism for Direction-tuned Cortical Simple Cells: The Role of Mutual Inhibition
196,1179,1996,Maximum Likelihood Blind Source Separation: A Context-Sensitive Generalization of ICA
197,118,1988,Learning by Choice of Internal Representations
198,1180,1996,Representing Face Images for Emotion Classification
199,1181,1996,Early Brain Damage
200,1182,1996,Balancing Between Bagging and Bumping
201,1183,1996,Adaptive On-line Learning in Changing Environments
202,1184,1996,Radial Basis Function Networks and Complexity Regularization in Function Learning
203,1185,1996,Learning Decision Theoretic Utilities through Reinforcement Learning
204,1186,1996,Text-Based Information Retrieval Using Exponentiated Gradient Descent
205,1187,1996,"Support Vector Method for Function Approximation, Regression Estimation and Signal Processing"
206,1188,1996,Spatiotemporal Coupling and Scaling of Natural Images and Human Visual Sensitivities
207,1189,1996,Second-order Learning Algorithm with Squared Penalty Term
208,119,1988,Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment
209,1190,1996,Source Separation and Density Estimation by Faithful Equivariant SOM
210,1191,1996,Regression with Input-Dependent Noise: A Bayesian Treatment
211,1192,1996,"Bangs, Clicks, Snaps, Thuds and Whacks: An Architecture for Acoustic Transient Processing"
212,1193,1996,A New Approach to Hybrid HMM/ANN Speech Recognition using Mutual Information Neural Networks
213,1194,1996,An Apobayesian Relative of Winnow
214,1195,1996,Hebb Learning of Features based on their Information Content
215,1196,1996,Competition Among Networks Improves Committee Performance
216,1197,1996,Computing with Infinite Networks
217,1198,1996,ARC-LH: A New Adaptive Resampling Algorithm for Improving ANN Classifiers
218,1199,1996,Neural Network Models of Chemotaxis in the Nematode Caenorhabditis Elegans
219,12,1987,Using Neural Networks to Improve Cochlear Implant Speech Perception
220,120,1988,A Model of Neural Oscillator for a Unified Submodule
221,1200,1996,Visual Cortex Circuitry and Orientation Tuning
222,1201,1996,Combining Neural Network Regression Estimates with Regularized Linear Weights
223,1202,1996,"Dual Kalman Filtering Methods for Nonlinear Prediction, Smoothing and Estimation"
224,1203,1996,Time Series Prediction using Mixtures of Experts
225,1204,1996,For Valid Generalization the Size of the Weights is More Important than the Size of the Network
226,1205,1996,An Adaptive WTA using Floating Gate Technology
227,1206,1996,A Micropower Analog VLSI HMM State Decoder for Wordspotting
228,1207,1996,GTM: A Principled Alternative to the Self-Organizing Map
229,1208,1996,A Mixture of Experts Classifier with Learning Based on Both Labelled and Unlabelled Data
230,1209,1996,Complex-Cell Responses Derived from Center-Surround Inputs: The Surprising Power of Intradendritic Computation
231,121,1988,Learning the Solution to the Aperture Problem for Pattern Motion with a Hebb Rule
232,1210,1996,Self-Organizing and Adaptive Algorithms for Generalized Eigen-Decomposition
233,1211,1996,Learning Bayesian Belief Networks with Neural Network Estimators
234,1212,1996,Selective Integration: A Model for Disparity Estimation
235,1213,1996,On the Effect of Analog Noise in Discrete-Time Analog Computations
236,1214,1996,A Convergence Proof for the Softassign Quadratic Assignment Algorithm
237,1215,1996,LSTM can Solve Hard Long Time Lag Problems
238,1216,1996,Reinforcement Learning for Dynamic Channel Allocation in Cellular Telephone Systems
239,1217,1996,Clustering Sequences with Hidden Markov Models
240,1218,1996,On a Modification to the Mean Field EM Algorithm in Factorial Learning
241,1219,1996,MLP Can Provably Generalize Much Better than VC-bounds Indicate
242,122,1988,GEMINI: Gradient Estimation Through Matrix Inversion After Noise Injection
243,1220,1996,The Generalisation Cost of RAMnets
244,1221,1996,Multi-Task Learning for Stock Selection
245,1222,1996,Extraction of Temporal Features in the Electrosensory System of Weakly Electric Fish
246,1223,1996,Learning Appearance Based Models: Mixtures of Second Moment Experts
247,1224,1996,Learning from Demonstration
248,1225,1996,Dynamics of Training
249,1226,1996,Viewpoint Invariant Face Recognition using Independent Component Analysis and Attractor Networks
250,1227,1996,Using Curvature Information for Fast Stochastic Search
251,1228,1996,Efficient Nonlinear Control with Actor-Tutor Architecture
252,1229,1996,Multidimensional Triangulation and Interpolation for Reinforcement Learning
253,123,1988,Linear Learning: Landscapes and Algorithms
254,1230,1996,Local Bandit Approximation for Optimal Learning Problems
255,1231,1996,Promoting Poor Features to Supervisors: Some Inputs Work Better as Outputs
256,1232,1996,Gaussian Processes for Bayesian Classification via Hybrid Monte Carlo
257,1233,1996,Fast Network Pruning and Feature Extraction by using the Unit-OBS Algorithm
258,1234,1996,A Constructive Learning Algorithm for Discriminant Tangent Models
259,1235,1996,Blind Separation of Delayed and Convolved Sources
260,1236,1996,Neural Models for Part-Whole Hierarchies
261,1238,1996,Support Vector Regression Machines
262,1239,1996,Multilayer Neural Networks: One or Two Hidden Layers?
263,124,1988,Models of Ocular Dominance Column Formation: Analytical and Computational Results
264,1240,1996,Predicting Lifetimes in Dynamically Allocated Memory
265,1241,1996,Ordered Classes and Incomplete Examples in Classification
266,1242,1996,Unsupervised Learning by Convex and Conic Coding
267,1243,1996,Learning with Noise and Regularizers in Multilayer Neural Networks
268,1244,1996,A Neural Model of Visual Contour Integration
269,1245,1996,Sequential Tracking in Pricing Financial Options using Model Based and Neural Network Approaches
270,1247,1996,Genetic Algorithms and Explicit Search Statistics
271,1248,1996,Neural Learning in Structured Parameter Spaces - Natural Riemannian Gradient
272,1249,1996,An Analog Implementation of the Constant Average Statistics Constraint For Sensor Calibration
273,125,1988,Training a 3-Node Neural Network is NP-Complete
274,1250,1996,Effective Training of a Neural Network Character Classifier for Word Recognition
275,1251,1996,Multi-effect Decompositions for Financial Data Modeling
276,1252,1996,A Comparison between Neural Networks and other Statistical Techniques for Modeling the Relationship between Tobacco and Alcohol and Cancer
277,1253,1996,Improving the Accuracy and Speed of Support Vector Machines
278,1254,1996,The Effect of Correlated Input Data on the Dynamics of Learning
279,1255,1996,A Model of Recurrent Interactions in Primary Visual Cortex
280,1256,1996,The Learning Dynamcis of a Universal Approximator
281,1257,1996,Removing Noise in On-Line Search using Adaptive Batch Sizes
282,1258,1996,A Constructive RBF Network for Writer Adaptation
283,1259,1996,Are Hopfield Networks Faster than Conventional Computers?
284,126,1988,Computer Modeling of Associative Learning
285,1260,1996,Clustering via Concave Minimization
286,1261,1996,Continuous Sigmoidal Belief Networks Trained using Slice Sampling
287,1262,1996,Temporal Low-Order Statistics of Natural Sounds
288,1263,1996,Training Algorithms for Hidden Markov Models using Entropy Based Distance Functions
289,1264,1996,Hidden Markov Decision Trees
290,1265,1996,A Silicon Model of Amplitude Modulation Detection in the Auditory Brainstem
291,1266,1996,Learning Temporally Persistent Hierarchical Representations
292,1267,1996,Adaptive Access Control Applied to Ethernet Data
293,1268,1996,A Mean Field Algorithm for Bayes Learning in Large Feed-forward Neural Networks
294,1269,1996,Analysis of Temporal-Diffference Learning with Function Approximation
295,127,1988,Optimization by Mean Field Annealing
296,1270,1996,Monotonicity Hints
297,1271,1996,Online Learning from Finite Training Sets: An Analytical Case Study
298,1272,1996,Bayesian Model Comparison by Monte Carlo Chaining
299,1273,1996,Multi-Grid Methods for Reinforcement Learning in Controlled Diffusion Processes
300,1274,1996,Learning Exact Patterns of Quasi-synchronization among Spiking Neurons from Data on Multi-unit Recordings
301,1275,1996,Representation and Induction of Finite State Machines using Time-Delay Neural Networks
302,1276,1996,Neural Network Modeling of Speech and Music Signals
303,1277,1996,A Hierarchical Model of Visual Rivalry
304,1278,1996,Reinforcement Learning for Mixed Open-loop and Closed-loop Control
305,1279,1996,Adaptively Growing Hierarchical Mixtures of Experts
306,128,1988,Electronic Receptors for Tactile/Haptic Sensing
307,1280,1996,Ensemble Methods for Phoneme Classification
308,1281,1996,Dynamically Adaptable CMOS Winner-Take-All Neural Network
309,1282,1996,Unification of Information Maximization and Minimization
310,1283,1996,A Variational Principle for Model-based Morphing
311,1284,1996,Analytical Mean Squared Error Curves in Temporal Difference Learning
312,1285,1996,Spectroscopic Detection of Cervical Pre-Cancer through Radial Basis Function Networks
313,1286,1996,"Analog VLSI Circuits for Attention-Based, Visual Tracking"
314,1287,1996,VLSI Implementation of Cortical Visual Motion Detection Using an Analog Neural Computer
315,1288,1996,Minimizing Statistical Bias with Queries
316,1289,1996,The CONDENSATION Algorithm - Conditional Density Propagation and Applications to Visual Tracking
317,129,1988,Scaling and Generalization in Neural Networks: A Case Study
318,1290,1996,Separating Style and Content
319,1291,1996,Contour Organisation with the EM Algorithm
320,1292,1996,Why did TD-Gammon Work?
321,1293,1996,Bayesian Unsupervised Learning of Higher Order Structure
322,1294,1996,Dynamic Features for Visual Speechreading: A Systematic Comparison
323,1295,1996,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling
324,1296,1996,3D Object Recognition: A Model of View-Tuned Neurons
325,1297,1996,Approximate Solutions to Optimal Stopping Problems
326,1298,1996,488 Solutions to the XOR Problem
327,1299,1996,The Neurothermostat: Predictive Optimal Control of Residential Heating Systems
328,13,1987,Temporal Patterns of Activity in Neural Networks
329,130,1988,Statistical Prediction with Kanerva's Sparse Distributed Memory
330,1301,1996,Reconstructing Stimulus Velocity from Neuronal Responses in Area MT
331,1302,1996,On-line Policy Improvement using Monte-Carlo Search
332,1303,1996,Size of Multilayer Networks for Exact Learning: Analytic Approach
333,1304,1996,Spatial Decorrelation in Orientation Tuned Cortical Cells
334,1305,1996,Rapid Visual Processing using Spike Asynchrony
335,1306,1996,Practical Confidence and Prediction Intervals
336,1307,1996,Noisy Spiking Neurons with Temporal Coding have more Computational Power than Sigmoidal Neurons
337,1308,1996,Softening Discrete Relaxation
338,1309,1996,Interpreting Images by Propagating Bayesian Beliefs
339,131,1988,Modeling Small Oscillating Biological Networks in Analog VLSI
340,1310,1996,Salient Contour Extraction by Temporal Binding in a Cortically-based Network
341,1311,1996,"Consistent Classification, Firm and Soft"
342,1312,1996,Statistically Efficient Estimations Using Cortical Lateral Connections
343,1313,1996,Interpolating Earth-science Data using RBF Networks and Mixtures of Experts
344,1314,1996,Smoothing Regularizers for Projective Basis Function Networks
345,1315,1996,One-unit Learning Rules for Independent Component Analysis
346,1316,1996,Recursive Algorithms for Approximating Probabilities in Graphical Models
347,1317,1996,Exploiting Model Uncertainty Estimates for Safe Dynamic Control Learning
348,1318,1996,Triangulation by Continuous Embedding
349,1319,1996,Cholinergic Modulation Preserves Spike Timing Under Physiologically Realistic Fluctuating Input
350,132,1988,Theory of Self-Organization of Cortical Maps
351,1320,1996,An Orientation Selective Neural Network for Pattern Identification in Particle Detectors
352,1321,1996,Edges are the 'Independent Components' of Natural Scenes.
353,1322,1996,A Spike Based Learning Neuron in Analog VLSI
354,1323,1996,NeuroScale: Novel Topographic Feature Extraction using RBF Networks
355,1324,1996,Probabilistic Interpretation of Population Codes
356,1325,1996,Combinations of Weak Classifiers
357,1326,1996,Estimating Equivalent Kernels for Neural Networks: A Data Perturbation Approach
358,1327,1996,"Compositionality, MDL Priors, and Object Recognition"
359,1328,1996,MIMIC: Finding Optima by Estimating Probability Densities
360,1329,1996,ARTEX: A Self-organizing Architecture for Classifying Image Regions
361,133,1988,A Back-Propagation Algorithm with Optimal Use of Hidden Units
362,1330,1996,Orientation Contrast Sensitivity from Long-range Interactions in Visual Cortex
363,1331,1997,Recovering Perspective Pose with a Dual Step EM Algorithm
364,1332,1997,Mapping a Manifold of Perceptual Observations
365,1333,1997,The Efficiency and the Robustness of Natural Gradient Descent Learning Rule
366,1334,1997,Features as Sufficient Statistics
367,1335,1997,Training Methods for Adaptive Boosting of Neural Networks
368,1336,1997,Minimax and Hamiltonian Dynamics of Excitatory-Inhibitory Networks
369,1337,1997,Analog VLSI Model of Intersegmental Coordination with Nearest-Neighbor Coupling
370,1338,1997,Dynamic Stochastic Synapses as Computational Units
371,1339,1997,Modeling Acoustic Correlations by Factor Analysis
372,134,1988,Efficient Parallel Learning Algorithms for Neural Networks
373,1340,1997,Generalization in Decision Trees and DNF: Does Size Matter?
374,1341,1997,Nonlinear Markov Networks for Continuous Variables
375,1342,1997,Multiplicative Updating Rule for Blind Separation Derived from the Method of Scoring
376,1343,1997,Extended ICA Removes Artifacts from Electroencephalographic Recordings
377,1344,1997,Analytical Study of the Interplay between Architecture and Predictability
378,1345,1997,Multi-modular Associative Memory
379,1346,1997,A Framework for Multiple-Instance Learning
380,1347,1997,Incorporating Test Inputs into Learning
381,1348,1997,A Solution for Missing Data in Recurrent Neural Networks with an Application to Blood Glucose Prediction
382,1349,1997,Learning to Schedule Straight-Line Code
383,135,1988,A Connectionist Expert System that Actually Works
384,1350,1997,Analysis of Drifting Dynamics with Neural Network Hidden Markov Models
385,1351,1997,2D Observers for Human 3D Object Recognition?
386,1352,1997,A Simple and Fast Neural Network Approach to Stereovision
387,1353,1997,Stacked Density Estimation
388,1354,1997,Phase Transitions and the Perceptual Organization of Video Sequences
389,1355,1997,A Neural Network Model of Naive Preference and Filial Imprinting in the Domestic Chick
390,1356,1997,On Parallel versus Serial Processing: A Computational Study of Visual Search
391,1357,1997,The Canonical Distortion Measure in Feature Space and 1-NN Classification
392,1358,1997,Monotonic Networks
393,1359,1997,Data-Dependent Structural Risk Minimization for Perceptron Decision Trees
394,136,1988,Automatic Local Annealing
395,1360,1997,Silicon Retina with Adaptive Filtering Properties
396,1361,1997,Recurrent Neural Networks Can Learn to Implement Symbol-Sensitive Counting
397,1362,1997,Multi-time Models for Temporally Abstract Planning
398,1363,1997,Active Data Clustering
399,1364,1997,An Analog VLSI Neural Network for Phase-based Machine Vision
400,1365,1997,Toward a Single-Cell Account for Binocular Disparity Tuning: An Energy Model May Be Hiding in Your Dendrites
401,1366,1997,Blind Separation of Radio Signals in Fading Channels
402,1367,1997,An Analog VLSI Model of the Fly Elementary Motion Detector
403,1368,1997,Computing with Action Potentials
404,1369,1997,Learning Continuous Attractors in Recurrent Networks
405,137,1988,An Electronic Photoreceptor Sensitive to Small Changes in Intensity
406,1370,1997,MELONET I: Neural Nets for Inventing Baroque-Style Chorale Variations
407,1371,1997,Detection of First and Second Order Motion
408,1372,1997,From Regularization Operators to Support Vector Kernels
409,1373,1997,Globally Optimal On-line Learning Rules
410,1374,1997,Just One View: Invariances in Inferotemporal Cell Tuning
411,1375,1997,Classification by Pairwise Coupling
412,1376,1997,Agnostic Classification of Markovian Sequences
413,1377,1997,Bidirectional Retrieval from Associative Memory
414,1378,1997,Using Expectation to Guide Processing: A Study of Three Real-World Applications
415,1379,1997,Shared Context Probabilistic Transducers
416,138,1988,Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators
417,1380,1997,Estimating Dependency Structure as a Hidden Variable
418,1381,1997,Hippocampal Model of Rat Spatial Abilities Using Temporal Difference Learning
419,1382,1997,Reinforcement Learning for Call Admission Control and Routing in Integrated Service Networks
420,1383,1997,The Asymptotic Convergence-Rate of Q-learning
421,1384,1997,Reinforcement Learning with Hierarchies of Machines
422,1385,1997,The Observer-Observation Dilemma in Neuro-Forecasting
423,1386,1997,Automated Aircraft Recovery via Reinforcement Learning: Initial Experiments
424,1387,1997,Local Dimensionality Reduction
425,1388,1997,On Efficient Heuristic Ranking of Hypotheses
426,1389,1997,Serial Order in Reading Aloud: Connectionist Models and Neighborhood Structure
427,139,1988,An Optimality Principle for Unsupervised Learning
